"Category","Name","Description"
"Pizza for one","Піца Маргарита for one","соус томатний, базилік, моцарелла, оливкова олія"
"Pizza for one","Піца Пепероні for one","соус томатний, моцарела, пепероні"
"Pizza for one","Піца Марінара Романо for one","соус томатний, анчоуси, базилік, часник, оливкова олія"
"Pizza for one","Піца Тоскана for one","соус вершковий, моцарела, цибуля зелена, куряче філе, боби едамаме, цукіні, фісташки"
"Pizza for one","Піца з бататом та горгонзолою for one","соус вершковий, моцарела, батат, горгонзола, песто, розмарин, пармезан, олія оливкова"
"Pizza for one","Піца 5 грибів for one","гливи барбекю, печериці свіжі, гриб муер, пудра з шиїтаке та білих грибів, пармезан, моцарела, соус місо вершковий"
"Pizza for one","Піца BBQ for one","соус томатний, моцарела, яловичий донер, цибуля фіолетова, печериці свіжі, чері, соус bbq, базилік свіжий"
"Pizza for one","Піца Чорізо for one","соус томатний, чорізо, халапеньо, моцарела, пармезан"
"Pizza for one","Піца з Кімчі та пепероні for one","соус томатний, моцарела, пепероні, перець чілі, кімчі, мед, крем-сир, чері, базилік"
"Pizza for one","Піца Рустіка for one","соус томатний, прошуто, моцарела, рукола,
чері, пармезан"
"Pizza for one","Піца Карбонара for one","соус вершковий, моцарела, бекон, куряче яйце,
пармезан, мікрогрін"
"Pizza for one","Піца мексиканська for one","моцарела, курка кебаб, соус томатний, кінза, часник свіжий, халапеньо, цибуля фіолетова, печений перець, зіра"
"Pizza for one","Піца з індичкою for one","соус вершковий, моцарела, шпинат свіжий, індичка, томати в'ялені, соус базиліковий, пармезан"
"Pizza for one","Піца з мортаделою for one","вершково-томатний соус, моцарела, мортадела, чері, крем-сир базиліковий, пармезан, фісташки"
"Pizza for one","Кальцоне Равена","соус томатний, моцарела, ементаль, горгонзола, чорниця, базилік, пармезан"
"Pizza for one","Піца Кебаб for one","соус вершковий, моцарела, курка кебаб, цибуля-кранч, чері, базилік"
"Pizza for one","Піца Сальмоне for one","соус вершковий, моцарела, лосось слабосолений, цукіні, боби едамаме, страчателла, базилік"
"Pizza for one","Піца Ді Карне for one","соус томатний, моцарела, шинка, салямі,
прошуто, в’ялені ковбаски, мікрогрін"
"Pizza for one","Піца з креветками на шпинатному соусі for one","соус шпинатний, моцарела, креветки, соус базиліковий, боби едамаме, маш салат, сіль дрогобицька, фісташки"
"Pizza for one","Піца Формаджо for one","соус вершковий, моцарела, ементаль, горгонзола, пармезан, фініки, мікрогрін щавель"
"Pizza for one","Піца Капрічоза for one","соус томатний, моцарела, шинка, печериці свіжі, артишоки, оливки зелені, пармезан"
"Pizza for two","Піца Маргарита for two","соус томатний, базилік, моцарелла, оливкова олія, чері у власному соці"
"Pizza for two","Піца Пепероні for two","соус томатний,моцарела,пепероні"
"Pizza for two","Піца Марінара Романо for two","соус томатний, анчоуси, базилік, часник, оливкова олія"
"Pizza for two","Піца 5 грибів for two","гливи барбекю, печериці свіжі, гриб муер, пудра з шиїтаке та білих грибів, пармезан, моцарела, соус місо вершковий"
"Pizza for two","Піца Капрічоза for two","соус томатний, моцарела, шинка, печериці свіжі, артишоки, оливки зелені, пармезан"
"Pizza for two","Піца Карбонара for two","соус вершковий, моцарелла, бекон, яйце, пармезан, мікрогрін"
"Pizza for two","Піца Тоскана for two","соус вершковий, моцарела, цукіні, куряче філе, боби едамаме, цибуля зелена, фісташки"
"Pizza for two","Піца Рустіка for two","соус томатний, прошутто, моцарелла, рукола, чері, пармезан"
"Pizza for two","Піца Формаджо for two","соус вершковий, моцарела, ементаль, горгонзола, пармезан, фініки, мікрогрін щавель"
"Pizza for two","Піца Чорізо for two","соус томатний, чорізо, халапеньо, моцарела, пармезан"
"Pizza for two","Піца з Кімчі та пепероні for two","соус томатний, моцарела, пепероні, перець чілі, крем-сир, чері, кімчі, мед, базилік"
"Pizza for two","Піца з бататом та горгонзолою for two","соус вершковий, моцарела, батат, горгонзола, песто, розмарин, пармезан, олія оливкова"
"Pizza for two","Піца з мортаделою for two","вершково-томатний соус, моцарела, мортадела, чері, крем-сир базиліковий, пармезан, фісташки"
"Pizza for two","Піца Ді Карне for two","соус томатний, моцарела, шинка, салямі, прошуто, в’ялені ковбаски, мікрогрін"
"Pizza for two","Піца BBQ for two","соус томатний, моцарела, яловичий донер, цибуля фіолетова, печериці свіжі, чері, соус bbq, базилік свіжий"
"Pizza for two","Піца мексиканська for two","моцарела, курка кебаб, соус томатний, кінза, часник свіжий, халапеньо, цибуля фіолетова, печений перець, зіра"
"Pizza for two","Піца з індичкою for two","соус вершковий, моцарела, шпинат свіжий, індичка, томати в'ялені, соус базиліковий, пармезан"
"Pizza for two","Піца Кебаб for two","соус вершковий, моцарела, курка кебаб, чері, базилік"
"Pizza for two","Піца з креветками на шпинатному соусі for two","соус шпинатний, моцарела, креветки, соус базиліковий, боби едамаме, маш салат, сіль дрогобицька, фісташки"
"Pizza for two","Піца Сальмоне for two","соус вершковий, моцарела, лосось слабосолений, цукіні, боби едамаме, страчателла, базилік"
"Соуси до бортиків","Соус Базиліковий",""
"Соуси до бортиків","Соус Чеддер"," "
"Соуси до бортиків","Соус сальса",""
