"Category","Name","Description"
"Ігристі вина","Prosecco Bianco","Ігристе сухе вино; Сорт винограду: Glera"
"Ігристі вина","Lambrusco dell 'Emilia Bianco Dry, Chiarli","Ламбруско Дель “Емілія”
Сорт винограду: Ламбруско Дель “Емілія” 100%. Італія: сухе"
"Ігристі вина","Вино Lambrusco dell 'Emilia Rosato; Chiarli","Ламбруско дель 'Емілія
Сорт винограду: Ламбруско Дель Емілья (100%). Італія: солодке"
"Ігристі вина","Cava Jaume Serra Brut","Кава Жауме Серра Брют
Сорт винограду: Макабеу; Шареллу; Парельяда. Іспанія: брют"
"Рожеві вина","Sauvignon Rose, Marlborough Sun","Совіньон Розе, Мальборо
Сорт винограду: Совіньйон Блан; Мальбек.
Нова Зеландія: сухе"
"Рожеві вина","Вино Rose d'Anjou, Chatelain Desjacques 750мл","Розе Д'Анжу
Сорт винограду: Гролло (92%); Гаме (5%); Піно д'Оніс (3%)."
"Білі вина","Вино Pinot Grigio delle Venezie, Fiorille","Піно Гріджио делле Венеціе
Сорт винограду: Піно Гріджо (100%). Італія: сухе"
"Білі вина","Вино Gewurztraminer Villa Wolf","Гевюрцтрамінер Віла Вольф
Сорт винограду: Гевюрцтрамінер (100%). Німечинна: напівсолодке"
"Білі вина","Вино Valdebaron Blanco, Ondarre","Вальдебарон Бланко
Сорт винограду: Темпранільйо Блан (100%). Іспанія: сухе"
"Білі вина","Viognier Torrontes Esperado","Віонье-Торронтес, Есперадо
Сорт винограду: Віоньє; Торронтес. Аргентина: напівсолодке"
"Білі вина","Sauvignon Blanc Marlborough Sun","Совіньйон Блан Мальборо Сан
Сорт винограду: Совіньйон Блан 100%. Нова Зеландія: сухе"
"Білі вина","Вино Трамінер; Stakhovsky Wines","Трамінер; Сорт винограду: Трамінер. Україна: сухе "
"Білі вина","Вино Chardonnay Leon de Tarapaca, Varietal","Шардоне Леон де Тарапака
Сорт винограду: Шардоне (85%). Чилі: сухе"
"Червоні вина","Вино Shiraz, The Grinder","Шираз; Сорт винограду: Шираз (100%). ПАР: сухе"
"Червоні вина","Вино Silk & Spice Red","Сілк & Спайс
Сорт винограду: Алікант Буше; Бага; Туріганапів."
"Червоні вина","Вино Chianti Riserva, Bonacchi","Кьянті Різерва
Сорт винограду: Санджовезе (100%). Італія: сухе"
"Червоні вина","Вино Portillo Malbec","Портіло Мальбек
Сорт винограду: Мальбек (100%). Аргентина: сухе "
"Червоні вина","Pinot Noir Marlborough Sun","Піно Нуар Мальборо Сан
Сорт винограду: Піно Нуар 100%. Нова Зеландія: сухе"
"Червоні вина","Вино Bardolino Classico, Zeni","Бардоліно Классіко
Сорт винограду: Корвіна; Молінара; Рондінелла. Італія: сухе"
"Червоні вина","Вино Одеське чорне сухе сортове, Колоніст","Сорт винограду: 100% Одеський Чорний"
